Company Name,Name,Role,Links
AARQ TRUST,Henry Schuck , CEO & Founder - DiscoverOrg | LinkedIn,https://www.linkedin.com/in/hschuck
ABACUS AUTOMATION,"Abacus Automation, Inc. | LinkedIn",Not Found,https://www.linkedin.com/company/abacus-automation-inc-
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
ACE NICOLLET RENTAL PLACE,Darin Workman Sr. CCIM , President/CEO - Ace Hardware | LinkedIn,https://www.linkedin.com/in/darinworkmanccim
ADAMS APPLE ORCHARD & FARM MARKET INC,Adams Apple Orchard & Farm Market , Home | Facebook,"https://www.facebook.com › Places › Williston, Vermont › Garden Center"
ADDISON COUNTY COMMUNITY ACTION GROUP,Larry Plesent ," CEO, Chief Formulator - Vermont Soapworks | LinkedIn",https://www.linkedin.com/in/larry-plesent-9796b121
ADDISON PRESS INC,Roger Byrom , CEO - Addison | LinkedIn,https://www.linkedin.com/in/rogerbyrom
ADI LLC,Maneet Singh , Founder and CEO - ADI Group | LinkedIn,https://www.linkedin.com/in/adigroup
ADVANCE UNIFORM COMPANY,Michael Kubinski , CEO/Founder/Creative Director/Owner - LinkedIn,https://www.linkedin.com/in/michael-kubinski-2707338b
ADVANCED ILLUMINATION,John Thrailkill , President & CEO - Advanced illumination | LinkedIn,https://www.linkedin.com/in/john-thrailkill-aa456834
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
ADVANCED MACHINE AND TOOL COMPANY,Dietmar Goellner , President & CEO - Goellner Inc. Holding Company ...,https://www.linkedin.com/in/dietmar-goellner-99b68656
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
ADVANCED PAPER TUBE INCORPORATED,Patrick Wallace ," President - Pacific Paper Tube, Inc. | LinkedIn",https://www.linkedin.com/in/patrick-wallace-37b48013
AGWAY,Brian Leonard , Owner - Agriventures Agway | LinkedIn,https://www.linkedin.com/in/brian-leonard-4b154511
AHLERS NV,Axel Ahlers , President - Evergree Finance & Investments | LinkedIn,https://www.linkedin.com/in/axel-ahlers-029912110
AIRGAS-MOUNTAIN STATES,Thomas Carson , Vice President Human Resources - Airgas | LinkedIn,https://www.linkedin.com/in/thomas-carson-2bb61651
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
AL ZARQA ELECTRICITY,Mohammed Arslan , Oppointed member of zarka ... - LinkedIn,https://hk.linkedin.com/pub/mohammed-arslan/b7/759/a45?trk=biz_employee_pub
ALARMS CENTRAL,Lawrence Popolizio CEO & President at Advance Alarm ... , LinkedIn,https://www.linkedin.com/in/lawrence-popolizio-8922a818
ALKEN,Allen Meyer , Founder & CEO - NxtNote | LinkedIn,https://www.linkedin.com/in/allen-meyer-69024a6
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
ALL LINES COMMUNICATIONS,Michelle Ashby ," Founder, CEO - Tipping Point Communications ...",https://www.linkedin.com/in/michelleashby
ALL METALS RECYCLING,Clint Cornejo ," Partner - Allmetal Recycling, LLC | LinkedIn",https://www.linkedin.com/in/clint-cornejo-4bb8924a
 INC,Maria Christopoulos Katris , Co-Founder & CEO - Built In | LinkedIn,https://www.linkedin.com/in/maria-christopoulos-katris-35b91b7
ALL SEASONS EXCAVATING AND LANDSCAPING,Justin Swindler , Founder & President - All Seasons ... - LinkedIn,https://www.linkedin.com/in/justin-swindler-4231b752
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
ALLAN JONES & SONS INC,Alan R Jones and Sons Ltd | LinkedIn,Not Found,https://www.linkedin.com/company/alan-r-jones-and-sons-ltd
ALLENTOWN MUNICIPAL EMPLOYEES CREDIT UNION,Cheryl Bartholomew , President & CEO - GOLD Credit Union | LinkedIn,https://www.linkedin.com/in/cheryl-bartholomew-10056213
ALLIED CONCRETE READY MIX SERVICE,Allied Concrete | LinkedIn,Not Found,https://www.linkedin.com/company/allied-concrete
ALPINE SPRINKLER INC.,Steven Nanda , Chief Executive Officer - Alpine Fire Engineers Ltd ...,https://uk.linkedin.com/in/steven-nanda-7aaa33b
AMBULATORY CARE OF WARTBURG,Juan E. Billini , Founder - Owner & Administrator - Chief ... - LinkedIn,https://www.linkedin.com/in/juanbillini
AMERICAN HEALTH CARE SOFTWARE ENTERPRISES INC,Marcia Derosia , CEO AHC Financial Service - American Health Care ...,https://www.linkedin.com/in/marcia-derosia-6112a06
ANALYTICAL SERVICES,Patrick Novak , Vice-President & Principal - CARO Analytical Services ...,https://ca.linkedin.com/in/patrick-novak-4467741b
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
ANCAP MANAGEMENT,James Goodwin , Chief Executive Officer - ANCAP Safety | LinkedIn,https://au.linkedin.com/in/jamesgoodwinancap
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
ANDERSON'S FORMAL WEAR OF KANSAS,Erik Anderson , Managing Director - Scissors & Scotch ... - LinkedIn,https://www.linkedin.com/in/erik-anderson-5b100a52
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
ANICHINI,ANICHINI | LinkedIn,Not Found,https://www.linkedin.com/company/anichini-inc
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
APPLIED BOLTING TECHNOLOGY PRODUCTS,Applied Bolting Technology Products Incorporated | LinkedIn,Not Found,https://www.linkedin.com/company/applied-bolting-technology
 LLC,Andrea Goulet ," Co-Founder & CEO - Corgibytes, LLC | LinkedIn",https://www.linkedin.com/in/andreamgoulet
AREA RESOURCE FOR INDIVIDUALIZED SERVICES,Tristan Louis , Founder & Owner - TNL.net | LinkedIn,https://www.linkedin.com/in/tristanlouis
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
ASCUTNEY METAL PRODUCTS INC,Jeff Wolding ," CEO/Founder - Creative Metal Products, Inc. | LinkedIn",https://www.linkedin.com/in/jeff-wolding-35014210
ASPECTS FURNITURE INTERNATIONAL,Michael Cannock , President & CEO - Furniture Atelier | LinkedIn,https://ca.linkedin.com/in/michael-cannock-9a22947
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
ASSOCIATION OF AFRICANS LIVING IN VERMONT INC,David Blittersdorf , President | CEO | Founder - AllEarth ... - LinkedIn,https://www.linkedin.com/in/davidblittersdorf
ATOMIC PROFESSIONAL AUDIO INC,Atomic Professional Audio | LinkedIn,Not Found,https://www.linkedin.com/company/atomic-professional-audio
AUTOMOBILE DEALERS ACCESSORY CORPORATION OF MICHIGAN,Will Chen , Founder - P.L.A.Y. | LinkedIn,https://www.linkedin.com/in/williamckchen
AUTUMN-HARP,Dave Logan , Chairman - Autumn Harp | LinkedIn,https://www.linkedin.com/in/dave-logan-80ba8121
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
AV DESIGN SERVICES,Jim Landy ," Founder - AV Design Services, LLC. | LinkedIn",https://www.linkedin.com/in/jimlandy
 LLC,Andrea Goulet ," Co-Founder & CEO - Corgibytes, LLC | LinkedIn",https://www.linkedin.com/in/andreamgoulet
AVONDA AIR SYSTEMS INC,"Avonda Air Systems, Inc. | LinkedIn",Not Found,https://www.linkedin.com/company/avonda-air-systems-inc
BARR,Brian Barr ," CEO, President and Co-Founder ... - LinkedIn",https://www.linkedin.com/in/brianbarr00001
 STERNBERG,Seth Sternberg , Co-Founder & CEO - Honor | LinkedIn,https://www.linkedin.com/in/sethjs
 MOSS,Jeffrey Moss , Founder and CEO - Parker Dewey | LinkedIn,https://www.linkedin.com/in/jeffreybmoss
 SILVER & MANSON PC,Ben,Manson Toussaint - Founder and CEO - seekncheck.com | LinkedIn,https://www.linkedin.com/in/ben-manson-toussaint-8572a134
BARRE CITY SCHOOL DISTRICT,Jennifer DeMarco , Co-Founder & CEO - Local Barre | LinkedIn,https://www.linkedin.com/in/jennifer-demarco-768aa713
BARRETT TRUCKING CO.,Barrett Trucking | LinkedIn,Not Found,https://www.linkedin.com/company/barrett-trucking
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
BATES & MURRAY,Peter Murray , Chief Executive Officer | Board Member ... - LinkedIn,https://www.linkedin.com/in/petercmurray
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
BATES FARM HOME & GARDEN INC,Jerry Cunningham , CEO - Napa Home & Garden | LinkedIn,https://www.linkedin.com/in/jerry-cunningham-48494313
BAY IMPROVEMENT & MAINTENANCE,Andrea Butterworth , Founder / CEO - Paracanna Foods Inc | LinkedIn,https://ca.linkedin.com/in/andrea-butterworth-85bb067
BEGO USA INC.,Frederick Horstkotte , President & CEO - BEGO USA | LinkedIn,https://www.linkedin.com/in/frederick-horstkotte-24938098
BEL AIRE CENTER INC,Scott York , CEO @ Bel Aire Recovery Center - Bel Aire ... - LinkedIn,https://www.linkedin.com/in/scott-york-b880572b
BELMAR SPRING WATER CO,Freddie Cairns Palmer , CEO - The WCD Group | LinkedIn,https://uk.linkedin.com/in/fredcairnspalmer
BENNINGTON FURNITURE,cassie fiacco , CEO - Bennington Furniture | LinkedIn,https://www.linkedin.com/in/cassie-fiacco-396662157
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
BENOIT ELECTRIC,Benoit Electric Inc | LinkedIn,Not Found,https://www.linkedin.com/company/benoit-electric-inc
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
BERTRAM CONSTRUCTION LTD,Jack Bertram , Owner and Managing Director ... - LinkedIn,https://uk.linkedin.com/in/jhbertram
BETTER POWER EQUIPMENT,Oleg Gladshteyn , CEO - Everlast Power Equipment | LinkedIn,https://www.linkedin.com/in/oleg-gladshteyn-875b0848
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
BETTER TRAVEL,Miki Taylor , Founder/CEO - Taylor & Co. Travel | LinkedIn,https://www.linkedin.com/in/miki-taylor-47215726
BIKE VERMONT INC,Jake Roach , CEO / FOUNDER - QuietKat Inc | LinkedIn,https://www.linkedin.com/in/jake-roach-0206758
BIOTEK INSTRUMENTS,Adam Alpert ," Owner - BioTek Instruments, Inc. | LinkedIn",https://www.linkedin.com/in/adam-alpert-ba04725
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
BLACK RIVER DESIGN ARCHITECTS,"James Beasley, AIA "," Portland, Maine | Professional Profile | LinkedIn",https://www.linkedin.com/in/james-beasley-aia-450834
 PLC,Alex Hoye , Co-Founder & Exec Director - FW | LinkedIn,https://uk.linkedin.com/in/alexhoye
BLACKTOP BY BEEDE PAVING,Blacktop by Beede Paving .inc | LinkedIn,Not Found,https://www.linkedin.com/company/blacktop-by-beede-paving-inc
BLANCHARD CONTRACTING,Quentin Blanchard , President/CEO - Blanchard's Contracting LLC ...,https://www.linkedin.com/in/quentin-blanchard-2031644
 LLC,Andrea Goulet ," Co-Founder & CEO - Corgibytes, LLC | LinkedIn",https://www.linkedin.com/in/andreamgoulet
Blog Sparks Network Inc,Fabienne Riener , Director of HR - Spark Networks | LinkedIn,https://www.linkedin.com/in/fabienne-riener-4bb72415
BLOW BROS.,Andrew Scivally , Co-Founder and CEO - eLearning Brothers | LinkedIn,https://www.linkedin.com/in/scivally
BLUE CROSS AND BLUE SHIELD OF VERMONT,Blue Cross and Blue Shield of Vermont | LinkedIn,Not Found,https://www.linkedin.com/company/blue-cross-and-blue-shield-of-vermont
BLUE SPRUCE FARM INC,Patrick Burns , Co-Founder - Spruce Holdings Inc. | LinkedIn,https://www.linkedin.com/in/pjaburns
BOB AILES ROOFING INCORPORATED,"Bob Ailes Roofing, Inc. | Better Business Bureau® Profile",Not Found,https://www.bbb.org/us/vt/st-johnsbury/.../roofing.../bob-ailes-roofing-inc-0021-8303...
BOOKINGENTERTAINMENT.COM INC.,BookingEntertainment.com | LinkedIn,Not Found,https://www.linkedin.com/company/bookingentertainment-com
BOOSKA MOVERS INC,Lior Rachmany ," CEO - Dumbo Moving and Storage, Inc. | LinkedIn",https://www.linkedin.com/in/lior-rachmany-64076311a
BORDER CARGO SERVICES INC,Shawn Girard , CEO - Energy Transportation Group | LinkedIn,https://ca.linkedin.com/in/shawn-girard-a5733612
BOURNE'S,Geoffrey Bourne , CEO and Founder - RETIRETY | LinkedIn,https://www.linkedin.com/in/geoffreybourne
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
BOYS & GIRLS CLUB OF BURLINGTON INC,Jim Clark , President and CEO - Boys & Girls Clubs of America | LinkedIn,https://www.linkedin.com/in/jim-clark-a269025
BRATTLEBORO RETREAT,Louis Josephson , President and CEO - The Brattleboro Retreat ...,https://www.linkedin.com/in/louis-josephson-18532114
BRATTLEBORO SALVAGE CORP,Michael Knapp , CEO | Founder - Green River | LinkedIn,https://www.linkedin.com/in/michael-knapp1
BREEN SYSTEMS MANAGEMENT INC,Jerry Breen , President - Mechanical Solutions LLC | LinkedIn,https://www.linkedin.com/in/jerry-breen-68361634
BRITHINEE ELECTRIC,Donald Brithinee , Owner - Brithinee Electric | LinkedIn,https://www.linkedin.com/in/donald-brithinee-47389510
BROWN ANIMAL HOSPITAL INC,Michael Raphael , President & Chief Executive Officer ... - LinkedIn,https://www.linkedin.com/in/michael-raphael
Budnitz Bicycles Inc,Paul Budnitz , Founder - Budnitz Bicycles | LinkedIn,https://www.linkedin.com/in/budnitz
BUMWRAPS INC,Stephanie Morimoto , Owner & CEO - Asutra | LinkedIn,https://www.linkedin.com/in/stephanie-morimoto-2a805923
BURAK ANDERSON & MELLONI,Burak Anderson & Melloni | LinkedIn,Not Found,https://www.linkedin.com/company/burak-anderson-&-melloni
BURLINGTON DRUG COMPANY,Burlington Drug Co | LinkedIn,Not Found,https://www.linkedin.com/company/burlington-drug-co
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
BURLINGTON PETROLEUM EQUIPMENT CORP,Paul Subject , Chief Executive Officer - FloNergia Inc. | LinkedIn,https://ca.linkedin.com/in/paul-subject-b567144
BUSINESS AIR,Damian Klinger , President and Co-Founder - Jets.com | LinkedIn,https://www.linkedin.com/in/damian-klinger-422b3b31
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
BUTTURA & SONS,Paige Lamthi , Vice President - Buttura & Gherardi Granite ... - LinkedIn,https://www.linkedin.com/in/paige-lamthi-111b2014
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
C & C PAINTING,Rick Davis , painter/supervisor - C&C Painting | LinkedIn,https://www.linkedin.com/pub/rick-davis/39/a85/69
C S E INC.,"CSE, Inc. | LinkedIn",Not Found,https://www.linkedin.com/company/cse_2
C T C CORPORATION,John Panaccione , President & CEO - LogicBay Corporation | LinkedIn,https://www.linkedin.com/in/john-panaccione-88272
CABOT CREAMERY COOPERATIVE,Cabot Creamery Co,operative | LinkedIn,https://www.linkedin.com/company/cabot-creamery
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
CADAC GROUP HOLDING B.V.,Cadac Group | LinkedIn,Not Found,https://www.linkedin.com/company/cadac-group
CALEDONIAN RECORD PUBLISHING COMPANY,Caledonian Record Publishing | LinkedIn,Not Found,https://www.linkedin.com/company/caledonian-record-publishing
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
CAMARA SLATE PRODUCTS INC,Michael Camara ," Owner/Sales - Camara Slate Products, Inc. | LinkedIn",https://www.linkedin.com/in/michael-camara-82869a52
CAPITOL EARTHMOVING INC,Paul Grewal , CEO and President - Morcorp Capital Group Inc. | LinkedIn,https://ca.linkedin.com/in/paul-grewal-72b14b4
CAPITOL STATIONERS INC,Bill DeWitt , President - owner - Capitol Office Supply | LinkedIn,https://www.linkedin.com/in/bill-dewitt-92a30843
CAPITOL STEEL & SUPPLY CO INC,CAPITOL STEEL CORPORATION | LinkedIn,Not Found,https://www.linkedin.com/company/cscph
CARL'S SHOES INC,Carls Shoes Inc | LinkedIn,Not Found,https://www.linkedin.com/company/carls-shoes-inc
CARLSON MECHANICAL INC,Carlson Mechanical | LinkedIn,Not Found,https://www.linkedin.com/company/carlson-mechanical
CARPET WAREHOUSE INC,Avi Gunzburg , Co-Founder of www.MantraDog.com ... - LinkedIn,https://www.linkedin.com/in/avi-gunzburg-398a0633
CASE STREET REDI-MIX,Steve Case , Chairman - The Case Foundation | LinkedIn,https://www.linkedin.com/in/steve-case-0973524
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
CASELLA WASTE MANAGEMENT OF N.Y.,Paul Ligon , Senior Vice President - Casella Waste Systems | LinkedIn,https://www.linkedin.com/in/paul-ligon-5036bb5
 INC.,Max Levchin ," Founder & CEO - Affirm, Inc. | LinkedIn",https://www.linkedin.com/in/maxlevchin
